Qt Palavras,sem split,split,-,word,frequency-split,frequency-no-split,,split,no-split,Degree 84w,Custom words [split],Degree [split],Custom words [no-split],Degree [no-split],Concordance [split],Concordance [no-split]
,,,,,,,,,,Moderate-High,22,Moderate-Low,22,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Moderate-Low,11,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,15,Moderate-Low,15,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Low,21,Moderate-Low,21,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,17,Low,18,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,22,Moderate-Low,22,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,23,Moderate-Low,23,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,20,Moderate-Low,20,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,21,Moderate-Low,21,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,18,Moderate-Low,18,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,15,Moderate-Low,15,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,21,Moderate-Low,21,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,21,Moderate-Low,21,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-High,17,Moderate-High,17,Moderate-High,TRUE,TRUE
,,,,,,,,,,Moderate-High,19,Moderate-High,19,Moderate-High,TRUE,TRUE
,,,,,,,,,,Moderate-High,17,Moderate-High,17,Moderate-High,TRUE,TRUE
,,,,,,,,,,Moderate-High,19,Moderate-High,19,Moderate-High,TRUE,TRUE
,,,,,,,,,,Moderate-High,17,Moderate-High,17,Moderate-High,TRUE,TRUE
,,,,,,,,,,Moderate-High,19,Moderate-High,19,Moderate-High,TRUE,TRUE
,,,,,,,,,,Moderate-High,17,Moderate-High,17,Moderate-High,TRUE,TRUE
,,,,,,,,,,Moderate-High,19,Moderate-High,19,Moderate-High,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,19,Moderate-Low,19,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,19,Moderate-Low,19,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,15,Moderate-Low,15,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,15,Moderate-Low,15,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Moderate-High,18,Moderate-High,18,Moderate-High,TRUE,TRUE
,,,,,,,,,,Moderate-High,18,High,18,High,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,14,Moderate-Low,14,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,19,Moderate-Low,19,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,17,Low,18,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,21,Moderate-High,21,Moderate-High,FALSE,FALSE
,,,,,,,,,,Moderate-Low,19,Moderate-High,19,Moderate-High,FALSE,FALSE
,,,,,,,,,,Moderate-Low,23,Moderate-Low,23,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,11,Moderate-Low,11,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,15,Moderate-Low,15,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Moderate-Low,11,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,22,Moderate-Low,22,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,17,Moderate-Low,17,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,20,Low,20,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,14,High,14,High,FALSE,FALSE
,,,,,,,,,,Moderate-Low,17,Moderate-High,17,Moderate-High,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Moderate-Low,11,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Moderate-Low,13,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Moderate-Low,11,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Moderate-High,20,Moderate-High,20,Moderate-High,TRUE,TRUE
,,,,,,,,,,Moderate-High,20,Moderate-High,20,Moderate-High,TRUE,TRUE
,,,,,,,,,,Moderate-High,18,Moderate-High,18,Moderate-High,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Moderate-Low,11,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Moderate-Low,21,Moderate-Low,21,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,18,Moderate-Low,18,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,18,Moderate-Low,18,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Moderate-Low,15,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,18,Moderate-Low,18,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,18,Moderate-Low,18,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-High,20,Moderate-High,20,Moderate-High,TRUE,TRUE
,,,,,,,,,,Moderate-High,21,Moderate-High,21,Moderate-High,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,17,Low,17,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,23,Moderate-Low,23,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,14,Moderate-Low,14,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,21,Moderate-Low,21,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,15,Moderate-Low,15,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,17,Moderate-Low,17,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,17,Moderate-Low,17,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,22,Moderate-Low,22,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,20,Moderate-Low,20,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,21,Moderate-Low,21,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,17,Moderate-Low,17,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,17,Moderate-Low,17,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,17,Moderate-Low,17,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,17,Moderate-Low,17,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,17,Moderate-Low,17,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Moderate-Low,23,Moderate-Low,23,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,23,Moderate-Low,23,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,19,Moderate-Low,19,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,19,Moderate-Low,19,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,22,Moderate-Low,22,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Moderate-Low,15,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Moderate-Low,23,Moderate-Low,23,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,19,Moderate-High,19,Moderate-High,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,21,Moderate-Low,21,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,21,Moderate-Low,21,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,23,Moderate-Low,23,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,11,Moderate-Low,11,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Moderate-Low,17,Moderate-Low,17,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Moderate-Low,11,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Moderate-Low,14,Moderate-Low,14,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,17,Low,17,Low,TRUE,TRUE
,,,,,,,,,,Low,17,Low,17,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,23,Moderate-Low,23,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,14,Moderate-Low,14,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,17,Moderate-Low,17,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,17,Moderate-Low,17,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,19,Moderate-High,19,Moderate-High,FALSE,FALSE
,,,,,,,,,,Moderate-Low,15,Moderate-Low,15,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,15,Moderate-Low,15,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,17,Low,18,Low,TRUE,TRUE
,,,,,,,,,,Moderate-High,19,Moderate-High,19,Moderate-High,TRUE,TRUE
,,,,,,,,,,Moderate-Low,19,Moderate-Low,19,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,High,16,High,16,High,TRUE,TRUE
,,,,,,,,,,Low,20,Moderate-Low,20,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Moderate-Low,21,Moderate-Low,21,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,19,Moderate-Low,19,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,19,Moderate-Low,19,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,23,Moderate-Low,23,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,15,Moderate-Low,15,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,21,Moderate-High,21,Moderate-High,FALSE,FALSE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Moderate-High,22,Moderate-Low,22,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,23,Moderate-Low,23,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,20,Low,20,Low,TRUE,TRUE
,,,,,,,,,,Low,17,Moderate-Low,18,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,19,Low,19,Low,TRUE,TRUE
,,,,,,,,,,Low,23,Moderate-Low,23,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,17,Moderate-Low,17,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Moderate-Low,23,Moderate-Low,23,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,11,Moderate-Low,11,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,23,Low,23,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Moderate-Low,15,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,15,Moderate-Low,15,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,15,Moderate-Low,15,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Moderate-Low,15,Moderate-Low,15,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,15,Moderate-Low,15,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,15,Moderate-Low,15,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Moderate-Low,15,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Moderate-Low,22,Moderate-Low,22,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,22,Moderate-Low,22,Moderate-Low,TRUE,TRUE
,,,,,,,,,,High,20,Moderate-High,20,Moderate-High,FALSE,FALSE
,,,,,,,,,,Moderate-High,19,Moderate-High,19,Moderate-High,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,15,Moderate-Low,15,Moderate-Low,TRUE,TRUE
,,,,,,,,,,High,16,High,16,High,TRUE,TRUE
,,,,,,,,,,High,16,High,16,High,TRUE,TRUE
,,,,,,,,,,Moderate-Low,21,Moderate-Low,21,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,14,Moderate-Low,14,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,22,Moderate-Low,22,Moderate-Low,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,15,Low,15,Low,TRUE,TRUE
,,,,,,,,,,High,18,Moderate-High,18,Moderate-High,FALSE,FALSE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,23,Moderate-Low,23,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,19,Moderate-High,19,Moderate-High,FALSE,FALSE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,17,Low,18,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,High,20,High,20,High,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-High,18,Moderate-High,18,Moderate-High,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,23,Low,23,Low,TRUE,TRUE
,,,,,,,,,,Low,23,Low,23,Low,TRUE,TRUE
,,,,,,,,,,Low,11,Low,11,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Low,13,Low,13,Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,15,Moderate-Low,15,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,23,Moderate-Low,23,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,23,Moderate-Low,23,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,15,Moderate-Low,15,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,21,High,21,High,FALSE,FALSE
,,,,,,,,,,Moderate-Low,23,Moderate-Low,23,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,23,Moderate-Low,23,Moderate-Low,TRUE,TRUE
,,,,,,,,,,Moderate-Low,23,Moderate-Low,23,Moderate-Low,TRUE,TRUE
